symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NFLX,2019-09-04 00:00:00+00:00,291.52,292.38,286.51,291.25,4653665,291.52,292.38,286.51,291.25,4653665,0.0,1.0
NFLX,2019-09-05 00:00:00+00:00,293.25,293.97,282.785,285.32,8972356,293.25,293.97,282.785,285.32,8972356,0.0,1.0
NFLX,2019-09-06 00:00:00+00:00,290.17,293.35,287.03,293.35,5166556,290.17,293.35,287.03,293.35,5166556,0.0,1.0
NFLX,2019-09-09 00:00:00+00:00,294.34,301.55,290.6,294.81,8232744,294.34,301.55,290.6,294.81,8232744,0.0,1.0
NFLX,2019-09-10 00:00:00+00:00,287.99,297.17,282.6629,291.16,12320248,287.99,297.17,282.6629,291.16,12320248,0.0,1.0
NFLX,2019-09-11 00:00:00+00:00,288.27,292.65,284.61,285.7,7405949,288.27,292.65,284.61,285.7,7405949,0.0,1.0
NFLX,2019-09-12 00:00:00+00:00,288.86,292.73,286.6,288.1,5010927,288.86,292.73,286.6,288.1,5010927,0.0,1.0
NFLX,2019-09-13 00:00:00+00:00,294.15,296.62,290.04,290.61,6583124,294.15,296.62,290.04,290.61,6583124,0.0,1.0
NFLX,2019-09-16 00:00:00+00:00,294.29,297.43,289.78,294.23,5307386,294.29,297.43,289.78,294.23,5307386,0.0,1.0
NFLX,2019-09-17 00:00:00+00:00,298.6,299.15,291.79,294.5,4817119,298.6,299.15,291.79,294.5,4817119,0.0,1.0
NFLX,2019-09-18 00:00:00+00:00,291.56,296.05,287.45,294.99,7841539,291.56,296.05,287.45,294.99,7841539,0.0,1.0
NFLX,2019-09-19 00:00:00+00:00,286.6,293.81,283.4,291.56,8545761,286.6,293.81,283.4,291.56,8545761,0.0,1.0
NFLX,2019-09-20 00:00:00+00:00,270.75,282.5,266.0,280.26,23954192,270.75,282.5,266.0,280.26,23954192,0.0,1.0
NFLX,2019-09-23 00:00:00+00:00,265.92,273.39,261.89,268.345,13610294,265.92,273.39,261.89,268.345,13610294,0.0,1.0
NFLX,2019-09-24 00:00:00+00:00,254.59,265.0,252.28,262.5,16392808,254.59,265.0,252.28,262.5,16392808,0.0,1.0
NFLX,2019-09-25 00:00:00+00:00,264.75,266.6,253.7,255.71,11846748,264.75,266.6,253.7,255.71,11846748,0.0,1.0
NFLX,2019-09-26 00:00:00+00:00,263.31,268.05,260.2,266.42,7696858,263.31,268.05,260.2,266.42,7696858,0.0,1.0
NFLX,2019-09-27 00:00:00+00:00,263.08,267.44,260.39,266.175,7367491,263.08,267.44,260.39,266.175,7367491,0.0,1.0
NFLX,2019-09-30 00:00:00+00:00,267.62,268.88,262.78,264.0,6823100,267.62,268.88,262.78,264.0,6823100,0.0,1.0
NFLX,2019-10-01 00:00:00+00:00,269.58,272.2,264.03,267.35,8786284,269.58,272.2,264.03,267.35,8786284,0.0,1.0
NFLX,2019-10-02 00:00:00+00:00,268.03,269.35,262.19,263.61,7773299,268.03,269.35,262.19,263.61,7773299,0.0,1.0
NFLX,2019-10-03 00:00:00+00:00,268.15,268.843,257.01,267.78,9068810,268.15,268.843,257.01,267.78,9068810,0.0,1.0
NFLX,2019-10-04 00:00:00+00:00,272.79,275.4846,266.47,268.2,9992774,272.79,275.4846,266.47,268.2,9992774,0.0,1.0
NFLX,2019-10-07 00:00:00+00:00,274.46,276.68,271.28,271.99,6796811,274.46,276.68,271.28,271.99,6796811,0.0,1.0
NFLX,2019-10-08 00:00:00+00:00,270.72,275.53,270.6427,273.03,6302269,270.72,275.53,270.6427,273.03,6302269,0.0,1.0
NFLX,2019-10-09 00:00:00+00:00,267.53,271.0,264.57,270.02,6843488,267.53,271.0,264.57,270.02,6843488,0.0,1.0
